Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
23,20,RL,75,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,7,1951,1999,Gable,TA,TA,CBlock,TA,TA,900,0,612,1512,GasA,Ex,Y,1512,0,0,1512,1,0,1,0,3,1,TA,6,0,Attchd,1951,1,289,0,0,0,0,0,5,2009,WD,Normal,230000
24,120,RM,44,8255,Pave,Reg,HLS,AllPub,Inside,Gtl,NWAmes,TwnhsE,1Story,5,5,1996,1997,Gable,TA,TA,PConc,TA,TA,504,0,352,856,GasA,Ex,Y,1188,0,0,1188,0,0,1,0,2,1,Gd,4,0,Attchd,1996,2,407,0,0,0,0,0,10,2007,WD,Normal,130000
25,20,RL,NA,9000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,7,1977,1977,Gable,TA,TA,CBlock,TA,TA,999,0,89,1088,GasA,Ex,Y,1282,0,0,1282,1,0,1,0,2,1,TA,6,0,Attchd,1977,2,480,0,32,0,0,0,5,2010,COD,Normal,137500
26,20,RL,110,14670,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,1Fam,1Story,8,5,1998,1998,Hip,Gd,TA,PConc,Gd,TA,1543,0,507,2050,GasA,Ex,Y,2050,0,0,2050,1,0,2,1,3,1,Gd,8,2,Attchd,1998,3,608,0,0,0,0,0,2,2010,WD,Normal,335000
27,20,RL,60,6600,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,6,6,1958,1958,Gable,TA,TA,CBlock,TA,TA,789,0,375,1164,GasA,Gd,Y,1164,0,0,1164,1,0,1,0,3,1,TA,6,1,Detchd,1958,1,240,0,0,0,0,0,12,2006,WD,Normal,148500
28,20,RL,NA,13773,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,1Fam,1Story,5,5,1958,2007,Gable,TA,TA,CBlock,TA,TA,686,0,492,1178,GasA,TA,Y,1182,0,0,1182,0,0,1,0,3,1,TA,6,0,Attchd,1958,1,252,0,25,0,0,0,7,2006,WD,Normal,155000
29,20,RL,80,11000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,4,5,1963,1963,Gable,TA,TA,CBlock,Fa,TA,963,0,0,963,0,0,2,0,3,1,TA,4,0,Attchd,1963,1,275,0,0,0,0,0,5,2007,WD,Normal,131000
30,30,RM,60,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,1Fam,1Story,4,6,1921,2005,Gable,Fa,TA,BrkTil,TA,TA,252,0,0,252,0,0,1,0,2,1,TA,4,0,Detchd,1921,0,0,0,0,0,0,0,10,2009,WD,Abnorml,97000
31,60,RL,NA,11946,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,1Fam,2Story,7,5,1976,1976,Gable,TA,TA,CBlock,Gd,TA,673,0,1039,1712,GasA,Ex,Y,1712,1050,0,2762,0,0,2,1,4,1,Gd,9,0,Attchd,1976,2,484,0,0,0,0,0,11,2006,WD,Normal,235000
32,60,RL,66,10240,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,7,5,2001,2001,Gable,Gd,TA,PConc,Gd,TA,1035,0,193,1228,GasA,Ex,Y,1228,964,0,2192,0,0,2,1,4,1,Gd,8,1,Attchd,2001,2,552,0,0,0,0,0,5,2009,WD,Normal,279500
33,20,RL,70,9210,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,1Fam,1Story,5,7,1955,1955,Hip,TA,TA,CBlock,TA,TA,876,0,516,1392,GasA,Ex,Y,1392,0,0,1392,1,0,1,0,3,1,TA,5,1,Attchd,1955,1,264,0,0,0,0,0,8,2010,WD,Normal,143000
34,20,RL,NA,10200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,4,7,1952,2003,Gable,TA,TA,CBlock,TA,TA,888,0,0,888,0,0,1,0,3,1,TA,5,0,Detchd,1952,1,280,0,0,0,0,0,9,2007,WD,Normal,145000
35,60,RL,80,12540,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,2Story,8,5,2000,2000,Gable,Gd,TA,PConc,Gd,TA,895,0,349,1244,GasA,Ex,Y,1244,1136,0,2380,1,0,3,1,3,1,Gd,8,1,Attchd,2000,2,576,0,0,0,0,0,7,2007,WD,Normal,298000
36,20,RL,72,11736,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,1Fam,1Story,4,5,1954,1998,Gable,TA,TA,CBlock,Gd,TA,792,0,484,1276,GasA,Ex,Y,1276,0,0,1276,0,0,1,0,3,1,TA,5,0,Detchd,1954,2,420,112,0,0,0,0,5,2009,WD,Normal,155900
37,20,RL,68,9430,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,6,1960,1960,Gable,TA,TA,CBlock,TA,TA,1012,0,0,1012,0,0,2,0,3,1,TA,5,0,Attchd,1960,1,280,0,0,0,0,0,5,2007,WD,Normal,110000
38,40,RL,NA,11270,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,1Fam,1.5Unf,4,5,2001,2001,Gable,TA,TA,PConc,Gd,TA,0,0,620,620,GasA,Ex,Y,620,0,0,620,0,0,1,0,1,1,Gd,3,0,Attchd,2001,2,400,0,0,0,0,0,4,2008,WD,Normal,71000
39,20,RL,60,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1Story,5,5,1959,1959,Hip,TA,TA,CBlock,TA,TA,972,0,36,1008,GasA,Gd,Y,1008,0,0,1008,1,0,1,0,3,1,TA,5,0,Detchd,1959,1,304,0,0,0,0,0,7,2006,WD,Normal,119500
40,20,RL,NA,8170,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,6,1968,1997,Gable,TA,TA,CBlock,TA,TA,800,0,248,1048,GasA,Gd,Y,1048,0,0,1048,0,0,1,1,3,1,TA,5,0,Attchd,1968,1,384,0,0,0,0,0,12,2007,WD,Normal,130000
41,20,RL,75,12960,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,7,7,1968,1968,Gable,TA,TA,CBlock,Gd,TA,1218,0,0,1218,1,0,1,1,3,1,TA,7,1,Attchd,1968,2,528,140,0,0,0,0,11,2009,WD,Normal,168500
42,60,RL,NA,10692,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,1Fam,2Story,8,5,2001,2001,Gable,Gd,TA,PConc,Gd,TA,733,0,331,1064,GasA,Ex,Y,1064,923,0,1987,1,0,3,1,3,1,Gd,7,1,Attchd,2001,3,720,0,36,0,0,0,10,2008,WD,Normal,263000
43,60,RL,80,11250,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,1Fam,2Story,9,5,2007,2007,Hip,Ex,TA,PConc,Ex,TA,1391,0,0,1391,0,0,2,1,3,1,Ex,7,2,Attchd,2007,3,840,0,0,0,0,0,3,2009,New,Partial,475000
44,20,RL,63,10125,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1961,1961,Gable,TA,TA,CBlock,TA,TA,1064,0,0,1064,1,0,1,0,3,1,TA,5,1,Detchd,1961,1,255,0,0,0,0,0,7,2006,WD,Normal,147000
45,60,RL,NA,10120,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,1Fam,2Story,6,5,2006,2007,Gable,Gd,TA,PConc,Gd,TA,1168,0,0,1168,0,0,2,0,3,1,Gd,7,1,Attchd,2006,2,468,0,0,0,0,0,2,2010,WD,Normal,167000
46,85,RL,80,7000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,SFoyer,4,5,1955,1990,Flat,TA,TA,CBlock,TA,TA,830,0,148,978,GasA,Gd,Y,978,375,0,1353,0,0,1,0,3,2,TA,6,0,Detchd,1955,1,196,0,0,0,0,0,7,2007,WD,Normal,124000
47,50,RL,NA,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,1.5Fin,4,5,1950,1950,Gable,TA,TA,CBlock,NA,NA,0,0,0,0,GasA,TA,Y,900,450,0,1350,0,0,1,0,4,1,TA,6,1,Attchd,1950,1,200,0,0,0,0,0,5,2006,WD,Normal,111250
48,20,RL,84,11241,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,1Fam,1Story,7,5,1997,1997,Gable,Gd,TA,PConc,Gd,TA,1248,0,270,1518,GasA,Ex,Y,1518,0,0,1518,1,0,2,0,3,1,Gd,7,0,Attchd,1997,2,595,0,30,0,0,0,5,2007,WD,Normal,266000
49,20,RL,68,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1965,1965,Gable,TA,TA,CBlock,TA,TA,1200,0,0,1200,1,0,1,0,3,1,TA,5,0,Attchd,1965,2,365,0,0,0,0,0,1,2006,WD,Normal,151000
50,20,RL,80,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,1Fam,1Story,7,6,1974,1974,Hip,TA,TA,CBlock,Gd,TA,1110,0,0,1110,0,0,2,0,2,1,Gd,6,1,Attchd,1974,2,510,0,0,0,0,0,3,2009,WD,Normal,180000
51,60,RL,75,12000,Pave,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,1Fam,2Story,7,5,2000,2001,Gable,Gd,TA,PConc,Gd,TA,0,0,775,775,GasA,Ex,Y,775,925,0,1700,0,0,2,1,3,1,Gd,8,0,Attchd,2000,2,480,0,0,0,0,0,11,2007,WD,Normal,203000
52,50,RL,NA,10000,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,1Fam,1.5Fin,6,6,1964,1964,Gable,TA,TA,CBlock,TA,TA,1020,0,504,1524,GasA,Ex,Y,1524,0,0,1524,1,0,1,0,3,2,TA,6,2,Attchd,1964,1,357,0,0,0,0,0,4,2006,WD,Normal,163000
53,60,RL,84,14100,Pave,IR1,Lvl,AllPub,FR2,Gtl,NridgHt,1Fam,2Story,9,5,2003,2004,Hip,Ex,TA,PConc,Ex,TA,1151,0,627,1778,GasA,Ex,Y,1778,1113,0,2891,1,0,3,1,4,1,Ex,10,1,Attchd,2003,3,1038,0,0,0,0,0,10,2007,New,Partial,420000
54,80,RL,60,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,1Fam,SLvl,4,5,1941,1950,Gable,TA,TA,CBlock,TA,TA,758,0,0,758,0,0,1,0,2,1,TA,4,0,Detchd,1941,1,224,0,0,0,0,0,6,2007,WD,Normal,80000
55,20,RL,65,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1971,1971,Hip,TA,TA,CBlock,TA,TA,1063,0,413,1476,GasA,Gd,Y,1476,0,0,1476,0,0,1,0,3,1,TA,5,0,Attchd,1971,2,506,0,0,0,0,0,1,2009,WD,Normal,164500
56,60,RL,NA,12342,Pave,IR1,Lvl,AllPub,Inside,Gtl,Timber,1Fam,2Story,7,5,1994,1994,Gable,Gd,TA,PConc,Gd,TA,725,0,427,1152,GasA,Ex,Y,1152,896,0,2048,0,0,3,1,4,1,Gd,8,1,Attchd,1994,2,512,0,60,0,0,0,3,2009,WD,Normal,233000
57,20,RL,NA,14500,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,NWAmes,1Fam,1Story,5,5,1975,1994,Gable,TA,TA,CBlock,Gd,TA,980,0,0,980,0,0,2,0,3,1,TA,6,1,Attchd,1975,2,484,0,0,0,0,0,5,2008,WD,Normal,155000
58,20,RL,65,10112,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,6,7,1971,1971,Gable,TA,TA,CBlock,Gd,TA,1099,0,0,1099,0,0,2,0,3,1,Gd,7,0,Attchd,1971,2,484,0,32,0,0,0,11,2006,WD,Normal,180000
59,20,RL,75,11250,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,1Fam,1Story,5,5,1965,1965,Gable,TA,TA,CBlock,TA,TA,879,0,313,1192,GasA,TA,Y,1192,0,0,1192,1,0,1,0,3,1,TA,6,0,Attchd,1965,2,428,0,0,0,0,0,7,2007,WD,Normal,148000
60,20,RL,68,11250,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,1Fam,1Story,7,5,2003,2003,Gable,Gd,TA,PConc,Gd,TA,1260,0,0,1260,1,0,2,0,3,1,Gd,7,1,Attchd,2003,2,514,0,0,0,0,0,9,2006,WD,Normal,223000
